song names
Swan Dive - Jacob & The Dazey Chain
Too Sweet - Hozier
Too Polite To Fight - Autoheart
"String Quartet No. 12 in F Major, Op. 96, B. 179 ""American"" (Arr. for Saxophone Quartet): I. Allegro ma non troppo - Antonín Dvořák"
Buttercup - Hippo Campus
好想愛這個世界啊 - Hua Chen Yu
夜叉仙人 - Kinsen
Masterpiece Theatre III - Marianas Trench
Sober Up (feat. Rivers Cuomo) - AJR
It's Alright - Mother Mother
Faking of Comedy - jon-YAKITORY
OhNo! - Kevin Walkman
Something Left To Say - Pekoe
CLOSER - Waterparks
夜樱 - 三无Marblue
サマータイム - evening cinema
Bambi - Recorded at Spotify Studios NYC - Hippo Campus
Monster - dodie
Same Old Things - Black Match
起风了 - Zhou Shen
21 - Gracie Abrams
ハッピーシンセサイザ (feat. 花里みのり&桐谷遥&桃井愛莉&日野森雫) - MORE MORE JUMP!
"Good-bye, Ms. Floral Thief - cover - sana"
アメヲマツ、 - 美波
New Discovery - The Crane Wives
Sunflower - Pekoe
Pompeii - Bastille
なんでもないや - movie ver. - Mone Kamishiraishi
The Killing Kind - Marianas Trench
だから僕は音楽を辞めた - ヨルシカ
言って。 - ヨルシカ
Easier - The Crane Wives
Agnes - Radio Edit - Glass Animals
I'm Yours - Jason Mraz
Dear August - PJ Harding
Who Do You Love - Marianas Trench
Ophelia - The Lumineers
Monsters Calling Home - Run River North
Wildfire - Marianas Trench
Like Real People Do - Hozier
大鱼 - YUJIE
Lying Beast - Run River North
New Soul - Renee & Jeremy
朋友 - Wakin Chau
Melancholy Astronautic Man - Allie Moss
小情歌 - sodagreen
Cross My Heart Acoustic - Marianas Trench
The Graduate - The Arcadian Wild
Hello My Old Heart - Ten Year Anniversary - The Oh Hellos
Crystals - Of Monsters and Men
Let Go - Frou Frou
遇見 - Stefanie Sun
"起风了 - 电视剧""加油你是最棒的""主题曲 - 吳青峰"
Factories - Autoheart
Dandelions - Trevor Douglas
Hungover in the City of Dust - Autoheart
Curses - The Crane Wives
東風破 - Jay Chou
菊花台 - Jay Chou
Phantom - Of Monsters and Men
Evergreen - Pekoe
Magic Shop - BTS
Agoraphobia - Autoheart
How - Elina
"Gone, Gone, Gone - Elenyi"
みちしるべ - 茅原実里
Blackbird - Sarah McLachlan
小さな恋のうた - 高木さん(CV:高橋李依)
Blue - Elina
Bokuga Shinouto Omottanowa (僕が死のうと思ったのは) - Raon
Ref:rain - Aimer
白月光与朱砂痣 - 大籽
Runaway - Guitar Acoustic - AURORA
The Moon Will Sing - The Crane Wives
Monsters - Live - Zhou Shen
The Middle of Starting Over - Sabrina Carpenter
The Archer - Taylor Swift
起风了 - 吳青峰
如歌 - 電視原聲帶
Nada Sousou - Minami Kizuki
小任性 - 黑崎子
化身孤岛的鲸 - Zhou Shen
剛好遇見你 - Li Yugang
Human - Of Monsters and Men
ocean eyes - Billie Eilish
Hey Brother - Olivia Penalva
willow - Taylor Swift
ivy - Taylor Swift
catacombs - sød ven
沉鱼 - 音阙诗听
Nada Sousou - Hiroaki Kato
Saturn - Sleeping At Last
Be With You - JAY B
The Truth Untold - BTS
Eyes Wide Open - Sabrina Carpenter
Journey - Yiruma
May Be - Yiruma
小手拉大手 - Fish Leong
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit - SHAUN
wallflower - mxmtoon
逆光 - Stefanie Sun
我的秘密 - Live Piano Version - G.E.M.
芳草地 - 陳粒
分手快樂 - 獨唱版 - Fish Leong
Drops of Jupiter (Tell Me) - Train
"Lit (From ""A Silent Voice"") - Moisés Nieto"
River Flows In You - Original - Yiruma
Home - Tiffany Alvord
Wild Roses - Of Monsters and Men
Touch - Shura
Your Bones - Of Monsters and Men
King And Lionheart - Of Monsters and Men
Way Back Home - SHAUN
King - You'lllee
"Hey, Soul Sister - Train"
